,prediction,observed_value,classifier,name_short,matrix,polarity,fold
3,0.9739532,True,pytorch_NN,MG 18:1,9AA,positive,5
4,0.0028984284,True,pytorch_NN,Mevalonic acid,9AA,positive,5
5,0.0046262895,True,pytorch_NN,N-Acetylaspartylglutamic acid,9AA,positive,5
6,0.004884214,True,pytorch_NN,N-Acetylglucosamine,9AA,positive,5
7,0.8399816,False,pytorch_NN,Melatonin,9AA,positive,5
8,0.1932856,False,pytorch_NN,Methionine,9AA,positive,5
9,0.0008665588,False,pytorch_NN,N-Acetylaspartic acid,9AA,positive,5
10,0.005908161,False,pytorch_NN,N-Acetylgalactosamine 6-phosphate,9AA,positive,5
11,0.99880373,False,pytorch_NN,Niacinamide,9AA,positive,5
12,0.014498823,False,pytorch_NN,Nicotinic acid,9AA,positive,5
13,0.6544002,False,pytorch_NN,Ornithine,9AA,positive,5
14,3.7158738e-05,False,pytorch_NN,Orotic acid,9AA,positive,5
15,0.0004395378,False,pytorch_NN,Oxalacetic acid,9AA,positive,5
0,0.9999871,True,pytorch_NN,"N6,N6,N6-Trimethyllysine",9AA,positive,6
1,0.033595588,True,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),9AA,positive,6
2,0.012393814,True,pytorch_NN,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,positive,6
3,0.3049452,True,pytorch_NN,Nicotinamide riboside,9AA,positive,6
4,0.010277324,True,pytorch_NN,Nicotinamide ribotide,9AA,positive,6
5,0.99994147,True,pytorch_NN,Oxidized glutathione,9AA,positive,6
6,0.829847,True,pytorch_NN,PA 16:0-18:1,9AA,positive,6
7,0.48064226,False,pytorch_NN,PE 18:0-20:4,9AA,positive,6
8,0.72480094,False,pytorch_NN,PI 16:0-18:1,9AA,positive,6
9,0.39767435,False,pytorch_NN,PI(5)P 18:1,9AA,positive,6
10,0.39378884,False,pytorch_NN,Palmitic acid,9AA,positive,6
11,0.0032351497,False,pytorch_NN,Palmitoyl-CoA,9AA,positive,6
12,0.99998236,False,pytorch_NN,Pantothenic acid,9AA,positive,6
