Feature importance (mean abs value of shap-value),Model-impact of points with high-value features,Model-impact of points with low-value features,Feature name,matrix,polarity
0.0018858958648978684,0.009737843842900945,-0.0011100602536070218,141,pNA,negative
0.0018839519586622345,0.09203329299596945,-0.0066704457622993405,252,NOR,negative
0.00188269872215658,-0.007833934782664358,0.00045299754622758596,1693,CHCA,negative
0.0018816372566783312,-0.007808444041996976,0.0005194308128702205,362,ClCCA,negative
0.0018801054167665709,-0.007808444041996976,0.0005194308128702205,2004,ClCCA,negative
0.0018797740688886264,0.05322133102288993,-0.0038073421769682344,1228,DHAP,positive
0.001878865850056122,0.05086923049537144,-0.0046527657620230615,727,9AA,negative
0.0018783964475556842,0.06611216320265549,-0.005006697266834522,1991,NOR,positive
0.0018770853768774625,-0.17168722562741087,0.011337269365501994,1575,DHB,negative
0.001876984271535113,0.05086923049537144,-0.0046527657620230615,395,9AA,negative
0.0018759277538228556,0.09203329299596945,-0.0066704457622993405,394,NOR,negative
0.0018750857687147265,-0.02396147813242467,0.0016470926031816456,887,DHAP,negative
0.0018749160379767007,0.0700933034387825,-0.004032991241960037,592,DHB,positive
0.0018743087023384568,0.06611216320265549,-0.005006697266834522,1134,NOR,positive
0.0018737946751529804,-0.05747009833784845,0.0037810173692447457,1022,NEDC,positive
0.001872159910570427,0.09203329299596945,-0.0066704457622993405,487,NOR,negative
0.0018703218399561152,0.002377027793796887,-0.0002197730980858931,1991,pNA,positive
0.0018700103338676608,0.05086923049537144,-0.0046527657620230615,966,9AA,negative
0.00186998712878118,0.06611216320265549,-0.005006697266834522,394,NOR,positive
0.0018695309802199188,0.21659447665890322,-0.01515630065333593,1093,DAN,negative
0.0018685283755268867,-0.05747009833784845,0.0037810173692447457,1898,NEDC,positive
0.0018650817809181964,0.026285218711737158,-0.001657121073693546,1399,ClCCA,positive
0.0018650383777254098,0.002377027793796887,-0.0002197730980858931,41,pNA,positive
0.001864881466190127,-0.007808444041996976,0.0005194308128702205,1349,ClCCA,negative
0.001864480496124088,0.07438447142981604,-0.0054482203333231245,1440,CMBT,positive
0.0018637396674214622,0.06611216320265549,-0.005006697266834522,455,NOR,positive
0.0018613273054205203,0.09203329299596945,-0.0066704457622993405,323,NOR,negative
0.0018599843451210614,-0.04862582156147913,0.0036256023499807244,785,CMBT,negative
0.0018596041582460631,0.21659447665890322,-0.01515630065333593,1126,DAN,negative
0.001859334588406262,0.026285218711737158,-0.001657121073693546,396,ClCCA,positive
0.0018593189351862442,-0.01780447031260806,0.0011589427818431773,1430,MAPS,positive
0.0018592252978950538,0.05322133102288993,-0.0038073421769682344,1349,DHAP,positive
0.0018583034170939526,-0.02396147813242467,0.0016470926031816456,1308,DHAP,negative
0.0018574882411257932,0.009737843842900945,-0.0011100602536070218,1228,pNA,negative
0.001856256066012239,0.010912778045937203,-0.0008524303868868567,598,9AA,positive
0.0018560980367504692,-0.17168722562741087,0.011337269365501994,1991,DHB,negative
0.0018524800641932242,-0.02396147813242467,0.0016470926031816456,760,DHAP,negative
0.001851922430234878,0.0008237411350125807,-0.00012495620336273525,663,MAPS,negative
0.0018502822998357985,0.010912778045937203,-0.0008524303868868567,841,9AA,positive
0.0018490787946520318,-0.05747009833784845,0.0037810173692447457,1715,NEDC,positive
0.001847485159911083,-0.01780447031260806,0.0011589427818431773,446,MAPS,positive
0.0018464602193958859,0.05694088364360694,-0.003932497685764737,1411,CHCA,positive
0.0018461127222681338,-0.02396147813242467,0.0016470926031816456,1362,DHAP,negative
0.0018449155776031545,-0.007833934782664358,0.00045299754622758596,652,CHCA,negative
0.0018430308685435475,0.07438447142981604,-0.0054482203333231245,1942,CMBT,positive
0.0018418733820885133,0.132826751229078,-0.009340691353232138,1725,DAN,positive
0.0018413255260384177,0.002377027793796887,-0.0002197730980858931,622,pNA,positive
0.0018393190452878762,-0.04862582156147913,0.0036256023499807244,1292,CMBT,negative
0.0018381524007550483,0.06611216320265549,-0.005006697266834522,2004,NOR,positive
0.0018361393375622961,0.07438447142981604,-0.0054482203333231245,444,CMBT,positive
0.0018357443323661299,0.09203329299596945,-0.0066704457622993405,910,NOR,negative
0.0018356502561740161,0.026285218711737158,-0.001657121073693546,473,ClCCA,positive
0.0018317684906626714,-0.02396147813242467,0.0016470926031816456,1738,DHAP,negative
0.001830033223085783,0.0008237411350125807,-0.00012495620336273525,802,MAPS,negative
0.0018296466747690858,0.026285218711737158,-0.001657121073693546,1411,ClCCA,positive
0.0018274707100574279,-0.007808444041996976,0.0005194308128702205,1101,ClCCA,negative
0.0018274470486920275,0.002377027793796887,-0.0002197730980858931,1530,pNA,positive
0.001825601855913798,0.06611216320265549,-0.005006697266834522,62,NOR,positive
0.0018233150489387663,0.0008237411350125807,-0.00012495620336273525,623,MAPS,negative
0.0018231548088069839,0.010912778045937203,-0.0008524303868868567,898,9AA,positive
0.0018219214675459976,-0.007833934782664358,0.00045299754622758596,387,CHCA,negative
0.0018171956692967228,0.009737843842900945,-0.0011100602536070218,640,pNA,negative
0.0018164012304611983,0.05322133102288993,-0.0038073421769682344,2018,DHAP,positive
0.001813517749522003,0.05086923049537144,-0.0046527657620230615,1727,9AA,negative
0.0018131183146928938,-0.007808444041996976,0.0005194308128702205,143,ClCCA,negative
0.0018121929924335188,-0.04862582156147913,0.0036256023499807244,898,CMBT,negative
0.0018104088469106665,-0.05747009833784845,0.0037810173692447457,1452,NEDC,positive
0.001808768372159826,0.0008237411350125807,-0.00012495620336273525,1134,MAPS,negative
0.0018085738179899745,0.06611216320265549,-0.005006697266834522,305,NOR,positive
0.0018077516202843439,-0.01780447031260806,0.0011589427818431773,114,MAPS,positive
0.0018061930273532221,0.010912778045937203,-0.0008524303868868567,2044,9AA,positive
0.0018058738146778247,0.07438447142981604,-0.0054482203333231245,323,CMBT,positive
0.0018043752126449463,-0.08524026766588651,0.005886676400583118,490,NEDC,negative
0.0018039539028019882,0.010912778045937203,-0.0008524303868868567,1104,9AA,positive
0.0017955974100040395,0.05086923049537144,-0.0046527657620230615,470,9AA,negative
0.0017952071748756524,0.05694088364360694,-0.003932497685764737,481,CHCA,positive
0.0017944810214949533,0.05086923049537144,-0.0046527657620230615,1550,9AA,negative
0.0017935663868194,-0.08524026766588651,0.005886676400583118,697,NEDC,negative
0.0017932195049194567,-0.01780447031260806,0.0011589427818431773,841,MAPS,positive
0.0017920920124156097,0.06611216320265549,-0.005006697266834522,2044,NOR,positive
0.0017915183856271968,0.05322133102288993,-0.0038073421769682344,675,DHAP,positive
0.0017892623620179122,-0.04862582156147913,0.0036256023499807244,841,CMBT,negative
0.001789218012367421,-0.05747009833784845,0.0037810173692447457,758,NEDC,positive
0.0017872898856555026,0.05086923049537144,-0.0046527657620230615,1236,9AA,negative
0.001787042442188894,0.05322133102288993,-0.0038073421769682344,1624,DHAP,positive
0.0017870218130488754,-0.01780447031260806,0.0011589427818431773,724,MAPS,positive
0.0017825431923318485,0.026285218711737158,-0.001657121073693546,736,ClCCA,positive
0.0017824961531976735,0.09203329299596945,-0.0066704457622993405,1144,NOR,negative
0.0017819215563763052,0.05322133102288993,-0.0038073421769682344,697,DHAP,positive
0.001779626132906742,0.009737843842900945,-0.0011100602536070218,887,pNA,negative
0.0017790066832532876,-0.007808444041996976,0.0005194308128702205,1061,ClCCA,negative
0.0017783202385394765,0.0008237411350125807,-0.00012495620336273525,275,MAPS,negative
0.0017773609585557248,0.21659447665890322,-0.01515630065333593,1725,DAN,negative
0.001776679668551177,-0.17168722562741087,0.011337269365501994,1944,DHB,negative
0.0017757067572134486,-0.02396147813242467,0.0016470926031816456,26,DHAP,negative
0.0017749088783272204,-0.05747009833784845,0.0037810173692447457,1664,NEDC,positive
0.0017747536359269307,0.002377027793796887,-0.0002197730980858931,888,pNA,positive
0.0017742980491722194,-0.007833934782664358,0.00045299754622758596,1024,CHCA,negative
0.001773611677599478,-0.05747009833784845,0.0037810173692447457,1251,NEDC,positive
0.0017727677538156665,-0.007833934782664358,0.00045299754622758596,1061,CHCA,negative
0.0017687807968481905,0.009737843842900945,-0.0011100602536070218,823,pNA,negative
0.0017676264894305404,0.009737843842900945,-0.0011100602536070218,854,pNA,negative
0.0017675423892070188,0.09203329299596945,-0.0066704457622993405,758,NOR,negative
0.0017675148355906151,-0.02396147813242467,0.0016470926031816456,297,DHAP,negative
0.001767427477482663,-0.05747009833784845,0.0037810173692447457,971,NEDC,positive
0.0017665247670663948,-0.17168722562741087,0.011337269365501994,67,DHB,negative
0.0017653690939093366,0.05322133102288993,-0.0038073421769682344,478,DHAP,positive
0.0017635755449846053,0.05322133102288993,-0.0038073421769682344,479,DHAP,positive
0.0017625343998533384,-0.08524026766588651,0.005886676400583118,1507,NEDC,negative
0.0017623552293792484,0.010912778045937203,-0.0008524303868868567,563,9AA,positive
0.001762231940308427,0.0008237411350125807,-0.00012495620336273525,191,MAPS,negative
0.0017617731003537623,-0.04862582156147913,0.0036256023499807244,45,CMBT,negative
0.0017587521010821888,0.21659447665890322,-0.01515630065333593,1292,DAN,negative
0.0017585571220847585,0.21659447665890322,-0.01515630065333593,481,DAN,negative
0.0017548191362511017,-0.007808444041996976,0.0005194308128702205,1356,ClCCA,negative
0.001753867660585123,0.09203329299596945,-0.0066704457622993405,835,NOR,negative
0.0017486313501373816,0.0700933034387825,-0.004032991241960037,2034,DHB,positive
0.001745036009331883,0.05086923049537144,-0.0046527657620230615,141,9AA,negative
0.001744226843118657,0.009737843842900945,-0.0011100602536070218,2034,pNA,negative
0.0017441084571913176,-0.17168722562741087,0.011337269365501994,766,DHB,negative
0.0017409153055234238,0.0700933034387825,-0.004032991241960037,981,DHB,positive
0.0017405587296963905,-0.007833934782664358,0.00045299754622758596,1349,CHCA,negative
0.001739836048066374,0.07438447142981604,-0.0054482203333231245,370,CMBT,positive
0.0017393427883096433,-0.01780447031260806,0.0011589427818431773,745,MAPS,positive
0.0017382718425641075,-0.08524026766588651,0.005886676400583118,392,NEDC,negative
0.001737983854331648,-0.04862582156147913,0.0036256023499807244,1381,CMBT,negative
0.0017370051000176407,0.05694088364360694,-0.003932497685764737,1711,CHCA,positive
0.0017353904928183272,0.21659447665890322,-0.01515630065333593,1604,DAN,negative
0.0017321974662827882,-0.007808444041996976,0.0005194308128702205,713,ClCCA,negative
0.0017317792060539156,0.002377027793796887,-0.0002197730980858931,489,pNA,positive
0.0017316874607956833,0.009737843842900945,-0.0011100602536070218,2018,pNA,negative
0.0017314705156510875,-0.04862582156147913,0.0036256023499807244,321,CMBT,negative
0.0017294051545646478,-0.01780447031260806,0.0011589427818431773,1575,MAPS,positive
0.0017293968490384596,0.0008237411350125807,-0.00012495620336273525,806,MAPS,negative
0.00172932559926722,-0.01780447031260806,0.0011589427818431773,470,MAPS,positive
0.0017293167372577779,-0.04862582156147913,0.0036256023499807244,1182,CMBT,negative
0.0017284318866190385,0.21659447665890322,-0.01515630065333593,1507,DAN,negative
0.00172610789489655,0.05086923049537144,-0.0046527657620230615,255,9AA,negative
0.001723136081091635,-0.01780447031260806,0.0011589427818431773,606,MAPS,positive
0.0017227406087895912,0.002377027793796887,-0.0002197730980858931,1070,pNA,positive
0.0017210524441067649,-0.007808444041996976,0.0005194308128702205,498,ClCCA,negative
0.001719364758456466,-0.02396147813242467,0.0016470926031816456,1603,DHAP,negative
0.0017178912256215976,0.09203329299596945,-0.0066704457622993405,1624,NOR,negative
0.0017178024759656036,0.09203329299596945,-0.0066704457622993405,231,NOR,negative
0.0017169383079376668,0.06611216320265549,-0.005006697266834522,533,NOR,positive
0.0017167510983588754,-0.08524026766588651,0.005886676400583118,892,NEDC,negative
0.0017162290619098437,-0.08524026766588651,0.005886676400583118,1145,NEDC,negative
0.0017154088323833021,-0.02396147813242467,0.0016470926031816456,1440,DHAP,negative
0.00171480109174109,-0.007808444041996976,0.0005194308128702205,1302,ClCCA,negative
0.0017140850876316879,0.06611216320265549,-0.005006697266834522,106,NOR,positive
0.001714005048230568,0.09203329299596945,-0.0066704457622993405,1362,NOR,negative
0.001713169925472979,0.05322133102288993,-0.0038073421769682344,1991,DHAP,positive
0.0017124118194043175,-0.17168722562741087,0.011337269365501994,1887,DHB,negative
0.0017061843792239766,-0.007833934782664358,0.00045299754622758596,892,CHCA,negative
0.0017047511308577888,0.07438447142981604,-0.0054482203333231245,1946,CMBT,positive
0.0017028015059732944,0.002377027793796887,-0.0002197730980858931,1516,pNA,positive
0.001701618863590716,0.05694088364360694,-0.003932497685764737,228,CHCA,positive
0.0016992337279148728,0.009737843842900945,-0.0011100602536070218,606,pNA,negative
0.001698933952009331,-0.007833934782664358,0.00045299754622758596,1738,CHCA,negative
