,mean_abs_shap_value,std_abs_shap_value,feature_name,matrix,polarity
132,0.0024751253657141,0.0069972478205417,1884,pNA,positive
133,0.0024560363240942,0.0048147706344214,1696,pNA,positive
134,0.002455879946774,0.0039785796224822,1060,pNA,positive
135,0.0024497535680094,0.0067425643002198,1101,pNA,positive
136,0.0023727936881848,0.0075227939220106,576,pNA,positive
137,0.0023702509521557,0.0060004982875243,1104,pNA,positive
138,0.0023106178443633,0.0078841847807392,1163,pNA,positive
139,0.0021818101141517,0.0077277270173271,1070,pNA,positive
140,0.0021470461281985,0.0106524164607725,890,pNA,positive
141,0.0021358165201628,0.0076531502736513,1528,pNA,positive
142,0.0021262580616845,0.0100835862419297,976,pNA,positive
143,0.0021248344753544,0.0048210299111679,563,pNA,positive
144,0.002063321421332,0.0099406736237503,1137,pNA,positive
145,0.0020316018323876,0.0072134099834478,1575,pNA,positive
146,0.0019989201417143,0.0095412455769448,478,pNA,positive
147,0.0019655362656384,0.0108040139247895,1879,pNA,positive
148,0.0019479417850933,0.0093931944728756,269,pNA,positive
149,0.001930998872977,0.0065516091335251,1024,pNA,positive
150,0.0019098690349031,0.0053504640663369,119,pNA,positive
151,0.001902093237715,0.0030474186396508,932,pNA,positive
152,0.0018728517460823,0.0069955335563578,473,pNA,positive
153,0.0018609946633908,0.008924196539986,663,pNA,positive
154,0.0018539191803111,0.0076942403114122,1411,pNA,positive
155,0.001811937825279,0.0037234460636801,1855,pNA,positive
156,0.0017591412677836,0.0083700969085836,183,pNA,positive
157,0.0017521054239048,0.002856911199232,8,pNA,positive
158,0.0017257628540777,0.0038699886839983,1323,pNA,positive
159,0.0017069914244144,0.0080130273399753,423,pNA,positive
160,0.0016801684824796,0.0027242482063533,1088,pNA,positive
161,0.0016622905331439,0.0048314734938192,1781,pNA,positive
162,0.001630662300726,0.005642453232257,202,pNA,positive
163,0.001572676421898,0.0035560865582831,713,pNA,positive
164,0.001556692532463,0.0069937048592682,1607,pNA,positive
165,0.0015321980962515,0.0083602962741074,1664,pNA,positive
166,0.0015280212933055,0.007773940150836,31,pNA,positive
167,0.0015168608563375,0.0074772970312462,1506,pNA,positive
168,0.0015076153289886,0.0069647771585045,301,pNA,positive
169,0.0015051426042532,0.0073535823816582,396,pNA,positive
170,0.0015041176100553,0.0087726041887231,1991,pNA,positive
171,0.001454064967997,0.0041739648484415,350,pNA,positive
172,0.0014419125010714,0.0070658844002528,490,pNA,positive
173,0.0014409637680239,0.0063109971959424,755,pNA,positive
174,0.0014139746309906,0.0032945804396835,299,pNA,positive
175,0.001408395983956,0.0180362689215444,887,pNA,positive
176,0.0013674266122644,0.004718643317076,1190,pNA,positive
177,0.0013656763855399,0.0037862289344294,590,pNA,positive
178,0.0013603141982457,0.0040590834920286,1624,pNA,positive
179,0.0013384318548725,0.0048476679367608,1381,pNA,positive
180,0.0013105628829329,0.0038837429682784,114,pNA,positive
