,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
206,0.0,3.04823115804676,MLP,Cysteine,9AA,positive,2,0
207,0.0,3.292896119583227,MLP,DG 18:0-22:6,9AA,positive,2,0
208,0.0,3.0245281639526698,MLP,Dihydroxyacetone,9AA,positive,2,0
209,0.0,2.9880663178341105,MLP,Dihydroxyacetone phosphate,9AA,positive,2,0
210,0.0,3.261280629147872,MLP,Dopamine,9AA,positive,2,0
211,4.171703915963149,3.2385205272054303,MLP,Cytidine monophosphate,9AA,positive,3,0
212,1.8834350888853608,3.1104567420148643,MLP,Cytosine,9AA,positive,3,0
213,4.407864386932945,2.8959844034336983,MLP,Folic acid,9AA,positive,3,0
214,4.446442436277514,2.9524296097832203,MLP,GlcCer d18:1/18:0,9AA,positive,3,0
215,2.650223842943645,2.896149037371879,MLP,Lyso PA 18:1,9AA,positive,3,0
216,5.5556957076743,3.08357642516339,MLP,Lyso PC 15:0,9AA,positive,3,0
217,3.046217876551199,2.8963398415525856,MLP,Lyso PG 16:0,9AA,positive,3,0
218,0.0,2.9355104608668072,MLP,Epinephrine,9AA,positive,3,0
219,0.0,3.1551679355880364,MLP,Flavin adenine dinucleotide,9AA,positive,3,0
220,0.0,2.8958029473424154,MLP,"Fructose 1,6-bisphosphate",9AA,positive,3,0
221,0.0,2.9305045861201395,MLP,Fumaric acid,9AA,positive,3,0
222,0.0,2.900471115481292,MLP,GM3 Ganglioside 18:0,9AA,positive,3,0
223,0.0,2.8976382630919235,MLP,Gluconic acid,9AA,positive,3,0
224,0.0,2.937813743073657,MLP,Glucosamine,9AA,positive,3,0
225,0.0,2.9670652771999886,MLP,Glucosamine 6-phosphate,9AA,positive,3,0
226,0.0,3.049867117565345,MLP,Glucose,9AA,positive,3,0
227,2.484553848680711,3.099713345909274,MLP,Glutamine,9AA,positive,4,0
228,3.0739521833663166,3.0765582666552267,MLP,Glutathione,9AA,positive,4,0
229,2.496968262604692,3.531231998023705,MLP,Guanine,9AA,positive,4,0
230,2.827603205578959,3.111521999861276,MLP,Histamine,9AA,positive,4,0
231,1.5751231001930148,3.1164392961737706,MLP,Lyso PI 17:1,9AA,positive,4,0
232,2.0344707907417185,3.1020378121092715,MLP,MG 18:1,9AA,positive,4,0
233,2.1969204545772105,3.079407800257372,MLP,Mevalonic acid,9AA,positive,4,0
234,0.0,3.3054296668867678,MLP,Glutamic acid,9AA,positive,4,0
235,0.0,3.0998663679483363,MLP,Glycerol 3-phosphate,9AA,positive,4,0
236,0.0,3.379312402957138,MLP,Glycine,9AA,positive,4,0
237,0.0,3.1396836901287197,MLP,Homocysteine,9AA,positive,4,0
238,0.0,3.092339897339832,MLP,Kynurenic acid,9AA,positive,4,0
239,0.0,3.085948759968751,MLP,L-Dopa,9AA,positive,4,0
240,0.0,3.510420660357683,MLP,Lactic acid,9AA,positive,4,0
241,0.0,3.1042838134670445,MLP,Malic acid,9AA,positive,4,0
242,0.0,3.395056537795891,MLP,Malonic acid,9AA,positive,4,0
243,2.8135492325418614,3.084766105123492,MLP,Histidine,9AA,positive,5,0
244,2.6921040150610835,3.1139003722013667,MLP,Hypoxanthine,9AA,positive,5,0
245,1.7439860749977387,3.108345004308827,MLP,Kynurenine,9AA,positive,5,0
246,2.642937010970972,3.178312391129632,MLP,Lyso PE 18:0,9AA,positive,5,0
247,3.715626664551424,3.222477308571611,MLP,N-Acetylaspartylglutamic acid,9AA,positive,5,0
