,prediction,observed_value,classifier,name_short,matrix,polarity,fold
5,0.8768741,True,pytorch_NN,Propionylcarnitine,9AA,positive,7
6,0.5171758,False,pytorch_NN,Putrescine,9AA,positive,7
7,0.020348711,False,pytorch_NN,Pyruvic acid,9AA,positive,7
8,0.32671252,False,pytorch_NN,Quinolinic acid,9AA,positive,7
9,0.05447419,False,pytorch_NN,Retinoic acid,9AA,positive,7
10,0.11849974,False,pytorch_NN,Ribulose,9AA,positive,7
11,0.013861457,False,pytorch_NN,Serine,9AA,positive,7
12,0.18828134,False,pytorch_NN,Serotonin,9AA,positive,7
13,0.0060878345,False,pytorch_NN,Succinic acid,9AA,positive,7
14,0.22829993,False,pytorch_NN,Sulfo GalCer 18:0(2S-OH),9AA,positive,7
0,0.25864664,True,pytorch_NN,Prostaglandin E1,9AA,positive,8
1,0.24878529,True,pytorch_NN,Pyridoxine,9AA,positive,8
2,0.93173194,True,pytorch_NN,Riboflavin,9AA,positive,8
3,0.9905005,True,pytorch_NN,S-Adenosylhomocysteine,9AA,positive,8
4,0.99442023,True,pytorch_NN,S-Adenosylmethionine,9AA,positive,8
5,0.9990675,True,pytorch_NN,SM d18:1-16:0,9AA,positive,8
6,0.013325844,False,pytorch_NN,Taurine,9AA,positive,8
7,0.996976,False,pytorch_NN,Taurocholic acid,9AA,positive,8
8,0.010221493,False,pytorch_NN,Thymine,9AA,positive,8
9,0.009233301,False,pytorch_NN,Tyrosine,9AA,positive,8
10,0.012139768,False,pytorch_NN,Uracil,9AA,positive,8
11,0.15204114,False,pytorch_NN,Ureidosuccinic acid,9AA,positive,8
12,0.046789,False,pytorch_NN,Uric acid,9AA,positive,8
13,0.28472298,False,pytorch_NN,Uridine,9AA,positive,8
14,0.015543708,False,pytorch_NN,Uridine diphosphate,9AA,positive,8
0,0.7448861,True,pytorch_NN,Spermidine,9AA,positive,9
1,0.6546777,True,pytorch_NN,TG 15:0-18:1-15:0,9AA,positive,9
2,0.99809915,True,pytorch_NN,Tetrahydrofolic acid,9AA,positive,9
3,0.9992304,True,pytorch_NN,Thiamine,9AA,positive,9
4,0.044235468,True,pytorch_NN,Tryptophan,9AA,positive,9
5,0.72757894,True,pytorch_NN,Urocanic acid,9AA,positive,9
6,8.0126505e-05,False,pytorch_NN,Uridine diphosphate glucose,9AA,positive,9
7,0.00012825585,False,pytorch_NN,Uridine diphosphate glucuronic acid,9AA,positive,9
8,0.00085886783,False,pytorch_NN,Uridine diphosphate-N-acetylglucosamine,9AA,positive,9
9,0.029676778,False,pytorch_NN,Valine,9AA,positive,9
10,0.8520251,False,pytorch_NN,Xanthine,9AA,positive,9
11,0.07596177,False,pytorch_NN,alpha-tocopherol,9AA,positive,9
12,0.00762283,False,pytorch_NN,cis-Aconitic acid,9AA,positive,9
13,0.0048379567,False,pytorch_NN,gamma-Aminobutyric acid,9AA,positive,9
14,0.118899636,False,pytorch_NN,myo-Inositol,9AA,positive,9
0,0.97869796,True,pytorch_NN,2-Oxoglutaric acid,CHCA,negative,0
1,0.9978466,True,pytorch_NN,3-Phosphoglyceric acid,CHCA,negative,0
2,0.57111067,True,pytorch_NN,"4,5-Dihydroorotic acid",CHCA,negative,0
3,0.9989097,True,pytorch_NN,6-Phosphogluconic acid,CHCA,negative,0
4,0.99846256,True,pytorch_NN,Acetyl-CoA,CHCA,negative,0
5,0.9613615,True,pytorch_NN,Adenosine diphosphate,CHCA,negative,0
6,0.035247307,True,pytorch_NN,Arginine,CHCA,negative,0
7,0.9833734,True,pytorch_NN,Argininosuccinic acid,CHCA,negative,0
8,0.014405417,False,pytorch_NN,3-Hydroxyanthranilic acid,CHCA,negative,0
