,prediction,observed_value,classifier,name_short,matrix,polarity,fold
0,0.84700185,True,pytorch_NN,Spermidine,9AA,positive,9
1,0.64471,True,pytorch_NN,TG 15:0-18:1-15:0,9AA,positive,9
2,0.9958412,True,pytorch_NN,Tetrahydrofolic acid,9AA,positive,9
3,0.9988331,True,pytorch_NN,Thiamine,9AA,positive,9
4,0.045779645,True,pytorch_NN,Tryptophan,9AA,positive,9
5,0.8587519,True,pytorch_NN,Urocanic acid,9AA,positive,9
6,2.0359554e-05,False,pytorch_NN,Uridine diphosphate glucose,9AA,positive,9
7,0.00010778488,False,pytorch_NN,Uridine diphosphate glucuronic acid,9AA,positive,9
8,4.9082875e-05,False,pytorch_NN,Uridine diphosphate-N-acetylglucosamine,9AA,positive,9
9,0.03194766,False,pytorch_NN,Valine,9AA,positive,9
10,0.9785553,False,pytorch_NN,Xanthine,9AA,positive,9
11,0.34571213,False,pytorch_NN,alpha-tocopherol,9AA,positive,9
12,0.0022410655,False,pytorch_NN,cis-Aconitic acid,9AA,positive,9
13,0.00030330836,False,pytorch_NN,gamma-Aminobutyric acid,9AA,positive,9
14,0.23342736,False,pytorch_NN,myo-Inositol,9AA,positive,9
0,0.9940638,True,pytorch_NN,2-Oxoglutaric acid,CHCA,negative,0
1,0.9998467,True,pytorch_NN,3-Phosphoglyceric acid,CHCA,negative,0
2,0.85759735,True,pytorch_NN,"4,5-Dihydroorotic acid",CHCA,negative,0
3,0.99995136,True,pytorch_NN,6-Phosphogluconic acid,CHCA,negative,0
4,0.9994599,True,pytorch_NN,Acetyl-CoA,CHCA,negative,0
5,0.99649256,True,pytorch_NN,Adenosine diphosphate,CHCA,negative,0
6,0.009898485,True,pytorch_NN,Arginine,CHCA,negative,0
7,0.8956217,True,pytorch_NN,Argininosuccinic acid,CHCA,negative,0
8,0.004900962,False,pytorch_NN,3-Hydroxyanthranilic acid,CHCA,negative,0
9,0.9981729,False,pytorch_NN,3-Hydroxymethylglutaric acid,CHCA,negative,0
10,0.9476093,False,pytorch_NN,4-Hydroxyproline,CHCA,negative,0
11,0.08295932,False,pytorch_NN,5-Hydroxyindoleacetic acid,CHCA,negative,0
12,0.06729548,False,pytorch_NN,Acetoacetic acid,CHCA,negative,0
13,0.013164638,False,pytorch_NN,Acetylcarnitine,CHCA,negative,0
14,0.0010436106,False,pytorch_NN,Acetylcholine,CHCA,negative,0
15,0.7566956,False,pytorch_NN,Adenine,CHCA,negative,0
16,0.96225864,False,pytorch_NN,Adenosine monophosphate,CHCA,negative,0
0,0.08312436,True,pytorch_NN,Ascorbic acid,CHCA,negative,1
1,0.9931084,True,pytorch_NN,Aspartic acid,CHCA,negative,1
2,0.99999917,True,pytorch_NN,Cardiolipin 18:1,CHCA,negative,1
3,0.46438783,True,pytorch_NN,Carnosine,CHCA,negative,1
4,0.17425047,True,pytorch_NN,Cholic acid,CHCA,negative,1
5,0.9842477,True,pytorch_NN,Citric acid,CHCA,negative,1
6,0.97040504,True,pytorch_NN,Citrulline,CHCA,negative,1
7,0.99782735,True,pytorch_NN,Coenzyme A,CHCA,negative,1
8,0.9274133,False,pytorch_NN,Agmatine,CHCA,negative,1
9,0.031519577,False,pytorch_NN,Asparagine,CHCA,negative,1
10,0.97989696,False,pytorch_NN,Biotin,CHCA,negative,1
11,0.005789925,False,pytorch_NN,Butyric acid,CHCA,negative,1
12,0.012122517,False,pytorch_NN,CAR 16:0,CHCA,negative,1
13,0.01400327,False,pytorch_NN,Carnitine,CHCA,negative,1
14,0.0050008297,False,pytorch_NN,Cer d8:1/22:0 Cer,CHCA,negative,1
15,0.013615436,False,pytorch_NN,Cholecalciferol,CHCA,negative,1
16,0.0005752553,False,pytorch_NN,Choline,CHCA,negative,1
0,0.00046230206,True,pytorch_NN,Cysteine,CHCA,negative,2
1,0.9945791,True,pytorch_NN,Dihydroxyacetone phosphate,CHCA,negative,2
2,0.0024807989,True,pytorch_NN,Flavin adenine dinucleotide,CHCA,negative,2
3,0.99921906,True,pytorch_NN,"Fructose 1,6-bisphosphate",CHCA,negative,2
4,0.9856617,True,pytorch_NN,Fumaric acid,CHCA,negative,2
5,0.15644261,True,pytorch_NN,GM3 Ganglioside 18:0,CHCA,negative,2
6,0.6634531,True,pytorch_NN,Gluconic acid,CHCA,negative,2
7,0.00019264843,False,pytorch_NN,Creatine,CHCA,negative,2
8,0.0001002707,False,pytorch_NN,Creatinine,CHCA,negative,2
9,0.009816285,False,pytorch_NN,Cyclic adenosine monophosphate,CHCA,negative,2
10,0.62487584,False,pytorch_NN,Cystine,CHCA,negative,2
11,4.5063585e-05,False,pytorch_NN,Cytidine,CHCA,negative,2
12,0.0055436804,False,pytorch_NN,Cytidine monophosphate,CHCA,negative,2
13,7.927423e-05,False,pytorch_NN,Cytosine,CHCA,negative,2
14,0.011802699,False,pytorch_NN,Dihydroxyacetone,CHCA,negative,2
15,6.849541e-06,False,pytorch_NN,Dopamine,CHCA,negative,2
0,0.051683117,True,pytorch_NN,Glucosamine 6-phosphate,CHCA,negative,3
1,0.9329605,True,pytorch_NN,Glucose 6-phosphate,CHCA,negative,3
2,0.99484175,True,pytorch_NN,Glutamic acid,CHCA,negative,3
