,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
228,3.0739521833663166,1.850398272471196,MLP,Glutathione,9AA,positive,4,0
229,2.496968262604692,2.2810559579621423,MLP,Guanine,9AA,positive,4,0
230,2.827603205578959,2.628342666347928,MLP,Histamine,9AA,positive,4,0
231,1.5751231001930148,2.8719223445175963,MLP,Lyso PI 17:1,9AA,positive,4,0
232,2.0344707907417185,2.2857280088750835,MLP,MG 18:1,9AA,positive,4,0
233,2.1969204545772105,2.871231023560014,MLP,Mevalonic acid,9AA,positive,4,0
234,0.0,2.0180504449675065,MLP,Glutamic acid,9AA,positive,4,0
235,0.0,3.2949196958757065,MLP,Glycerol 3-phosphate,9AA,positive,4,0
236,0.0,3.500707121070855,MLP,Glycine,9AA,positive,4,0
237,0.0,2.1406677851687617,MLP,Homocysteine,9AA,positive,4,0
238,0.0,3.962027165756168,MLP,Kynurenic acid,9AA,positive,4,0
239,0.0,2.293901123224849,MLP,L-Dopa,9AA,positive,4,0
240,0.0,4.017492215606172,MLP,Lactic acid,9AA,positive,4,0
241,0.0,3.4025510064240194,MLP,Malic acid,9AA,positive,4,0
242,0.0,3.878281561553536,MLP,Malonic acid,9AA,positive,4,0
243,2.8135492325418614,2.384762678094966,MLP,Histidine,9AA,positive,5,0
244,2.6921040150610835,2.3030527851078224,MLP,Hypoxanthine,9AA,positive,5,0
245,1.7439860749977387,2.916518208055204,MLP,Kynurenine,9AA,positive,5,0
246,2.642937010970972,3.167761875952398,MLP,Lyso PE 18:0,9AA,positive,5,0
247,3.715626664551424,3.957155071552007,MLP,N-Acetylaspartylglutamic acid,9AA,positive,5,0
248,2.4786075712722377,2.5201998326100767,MLP,Nicotinamide riboside,9AA,positive,5,0
249,2.886842474021856,2.3105349664155748,MLP,Nicotinamide ribotide,9AA,positive,5,0
250,0.0,2.0052178898004835,MLP,Melatonin,9AA,positive,5,0
251,0.0,2.7841378769919656,MLP,Methionine,9AA,positive,5,0
252,0.0,2.6225086416250374,MLP,N-Acetylaspartic acid,9AA,positive,5,0
253,0.0,3.218519107128736,MLP,N-Acetylgalactosamine 6-phosphate,9AA,positive,5,0
254,0.0,2.3475941167981023,MLP,Niacinamide,9AA,positive,5,0
255,0.0,3.638869574389034,MLP,Nicotinic acid,9AA,positive,5,0
256,0.0,2.7486008166208533,MLP,Orotic acid,9AA,positive,5,0
257,0.0,3.267970332807589,MLP,Oxalacetic acid,9AA,positive,5,0
258,0.0,1.7723058238923113,MLP,PI 16:0-18:1,9AA,positive,5,0
259,2.332565295780774,2.104858341591638,MLP,Lyso PS 17:1,9AA,positive,6,0
260,2.617136168031702,2.808760337308436,MLP,N-Acetylglucosamine,9AA,positive,6,0
261,5.06130744676179,4.196673248432525,MLP,"N6,N6,N6-Trimethyllysine",9AA,positive,6,0
262,1.9363460543438888,2.770227956163247,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,positive,6,0
263,2.2584431954377955,3.870246970399528,MLP,PA 16:0-18:1,9AA,positive,6,0
264,4.777583767375446,6.658535114408316,MLP,PC (O) C16-18:1,9AA,positive,6,0
265,4.635371635511165,6.57941310933046,MLP,PC 15:0-18:1,9AA,positive,6,0
266,0.0,3.1400672844523343,MLP,Ornithine,9AA,positive,6,0
267,0.0,3.1052736297000654,MLP,PE 18:0-20:4,9AA,positive,6,0
268,0.0,2.3435663741821027,MLP,PI(5)P 18:1,9AA,positive,6,0
269,0.0,5.920022087087622,MLP,Palmitic acid,9AA,positive,6,0
270,0.0,2.760636044731116,MLP,Palmitoyl-CoA,9AA,positive,6,0
271,0.0,2.6108855812231027,MLP,Pantothenic acid,9AA,positive,6,0
272,0.0,2.4452564599679447,MLP,Phenylalanine,9AA,positive,6,0
273,0.0,5.7503641421187375,MLP,Phosphoenolpyruvic acid,9AA,positive,6,0
274,0.0,5.951964507174186,MLP,Pyruvic acid,9AA,positive,6,0
275,1.432026056628531,3.466040226009268,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,positive,7,0
276,3.354504771992124,2.884334649545697,MLP,Oxidized glutathione,9AA,positive,7,0
277,2.4888701861266345,2.546611086858248,MLP,PG 16:0-18:1,9AA,positive,7,0
278,2.332154358619539,2.5552320749504065,MLP,PS (POPS) 16:0-18:1,9AA,positive,7,0
279,1.6394397303685135,2.1716451768720777,MLP,Pantetheine,9AA,positive,7,0
280,1.0793084756925897,2.5381577672743427,MLP,Pyridoxine,9AA,positive,7,0
281,0.0,2.896263031271798,MLP,Proline,9AA,positive,7,0
282,0.0,3.485399587030251,MLP,Putrescine,9AA,positive,7,0
283,0.0,3.226539468276723,MLP,Quinolinic acid,9AA,positive,7,0
284,0.0,4.962456769388423,MLP,Retinoic acid,9AA,positive,7,0
285,0.0,2.458567664781717,MLP,Ribulose,9AA,positive,7,0
286,0.0,2.6980190469331715,MLP,Serine,9AA,positive,7,0
287,0.0,4.381275431278659,MLP,Succinic acid,9AA,positive,7,0
288,0.0,3.4296353481165784,MLP,Thymine,9AA,positive,7,0
289,0.0,3.537963100135091,MLP,Uracil,9AA,positive,7,0
