feature_name,mean_abs_shap,matrix,polarity
1290,3.5374177149024564,DHB,negative
932,3.5363204380617677,DHAP,negative
1144,3.532946340041235,9AA,negative
adduct_-H,3.5301881099755037,CMBT,positive
2018,3.526118591427803,NEDC,negative
1607,3.508521543694781,DAN,negative
2018,3.5024387417178526,9AA,positive
245,3.4852622673387015,CHCA,negative
1451,3.4808697001671933,9AA,negative
184,3.478235502467974,CHCA,negative
adduct_+H,3.4520254088858153,DAN,positive
2004,3.449878481856089,DHB,positive
888,3.4479753486417906,DHB,positive
adduct_-H,3.4474477585005974,DAN,negative
1995,3.435685599843661,MAPS,negative
adduct_[M]-,3.4171440933132544,NEDC,negative
1349,3.4042405389465036,CMBT,positive
2044,3.3920894902531797,pNA,negative
695,3.3849682125812732,9AA,negative
adduct_+K,3.37378273928623,DHB,positive
755,3.368912149779891,DHAP,negative
1134,3.3589611977230813,DHB,negative
482,3.355606323599899,DHAP,negative
482,3.3488571480182663,NEDC,negative
1431,3.3294631350346164,ClCCA,negative
41,3.3252696453651036,DHB,negative
887,3.320084255959744,DHB,negative
1440,3.3159739117692695,DHAP,negative
1236,3.313540783109544,CHCA,negative
1019,3.307840031416466,CMBT,negative
592,3.296851193980326,CHCA,negative
1879,3.2907216717009837,pNA,negative
1516,3.279664757762508,9AA,negative
1995,3.273498970344115,CMBT,positive
398,3.2660967851246614,DHB,negative
1430,3.264435699637967,DHB,positive
1451,3.2569099547047364,CMBT,negative
1838,3.2410328266081176,CHCA,negative
2004,3.2339736593598456,9AA,positive
456,3.233083010651171,9AA,negative
935,3.232781039564398,DHB,negative
1884,3.2231114419305293,DHB,positive
1019,3.2145208551415374,NEDC,negative
143,3.2095591358694375,9AA,positive
adduct_[M]-,3.2061486936041286,ClCCA,negative
1,3.2058212346885178,MAPS,negative
2018,3.2037096307391213,ClCCA,negative
143,3.202677536946553,9AA,negative
610,3.1958883234432767,MAPS,negative
976,3.1952503250913304,CHCA,negative
727,3.192799870774411,CMBT,negative
adduct_+Na,3.1821803953022743,pNA,positive
1126,3.1786476415500307,CMBT,negative
636,3.1763258292561485,ClCCA,negative
652,3.1690669374281093,CHCA,negative
116,3.161374927089925,CMBT,negative
976,3.16087123739814,ClCCA,negative
adduct_+H,3.1508098205285413,MAPS,positive
pka_strongest_acidic,3.1491648025885497,pNA,positive
1693,3.1406690794826737,ClCCA,negative
142,3.1405675193620106,ClCCA,negative
1022,3.139891269661131,MAPS,negative
592,3.136738530700169,ClCCA,negative
1879,3.133684631763843,CMBT,negative
652,3.128580377058254,9AA,positive
1144,3.1282345121889783,CMBT,negative
463,3.126125857359547,9AA,positive
1065,3.121156004127822,CHCA,negative
35,3.119927555617341,DAN,positive
1432,3.117261590531273,pNA,positive
1838,3.114433703202646,pNA,negative
971,3.110689075305598,CHCA,negative
606,3.105412428949421,NEDC,negative
1290,3.099889030059179,ClCCA,negative
1922,3.0980179187829924,CHCA,negative
1290,3.096631822893082,DHAP,negative
1451,3.092248471761213,pNA,negative
adduct_+Cl,3.0915621491166063,pNA,positive
482,3.089234161116774,ClCCA,negative
387,3.0850339312707415,DHAP,negative
1995,3.0842922088484483,DAN,negative
1451,3.083778171116438,CMBT,positive
adduct_[M]+,3.078699979894831,DAN,negative
319,3.07129218386887,CHCA,negative
1019,3.0667658942744738,CMBT,positive
592,3.05517529802663,NEDC,negative
1995,3.055059630881276,CMBT,negative
1516,3.0499812492612497,pNA,negative
781,3.0496072545569137,DHAP,negative
1190,3.047721695088382,NEDC,negative
1126,3.0468816664956866,MAPS,negative
1413,3.0290352442063435,ClCCA,negative
pka_strongest_basic,3.025592531172046,DHB,negative
352,3.0158976748986306,CMBT,positive
890,3.000551539517584,ClCCA,negative
pka_strongest_acidic,2.988629393072592,DAN,positive
2018,2.9728805787777635,DHAP,negative
adduct_+K,2.972150894281055,NEDC,negative
184,2.9712295682950525,DHB,positive
1879,2.9647812328356156,CMBT,positive
336,2.950524364872763,NEDC,negative
1144,2.948026802204207,CMBT,positive
1879,2.9419585950616525,9AA,negative
252,2.937554647499863,DHAP,negative
142,2.9167576394975185,NEDC,negative
115,2.9045250663059017,9AA,positive
adduct_+Cl,2.8986158413508045,CHCA,positive
115,2.8978019424228867,DHAP,negative
1516,2.88190717460676,pNA,positive
142,2.880871588254676,9AA,positive
2034,2.879401820073775,DAN,negative
pka_strongest_acidic,2.867811441064054,CHCA,positive
1773,2.8628630072937584,9AA,positive
1022,2.8526855146186576,DAN,negative
463,2.850892002502131,ClCCA,negative
1838,2.8472164255084405,9AA,negative
2044,2.845888461834485,NEDC,negative
498,2.8435442416269456,DHAP,negative
1516,2.8369920512750033,MAPS,negative
1190,2.822250070267493,DHAP,negative
1349,2.813822676476679,CMBT,negative
610,2.803161117115191,DAN,negative
1,2.800475873669644,DHB,positive
1516,2.7998082590077007,CMBT,negative
2038,2.7990555822585645,DHB,positive
1773,2.7883811297397765,ClCCA,negative
636,2.78597898979353,CHCA,negative
352,2.7848173833675927,DAN,negative
245,2.781309375150515,9AA,positive
2001,2.778198163133937,DAN,negative
1440,2.7761077548835487,ClCCA,negative
810,2.764596418813578,CHCA,negative
1,2.7545762818742108,DAN,negative
1819,2.7536997342234644,CHCA,negative
1356,2.752458877982133,DHB,negative
35,2.750430700125046,pNA,negative
adduct_[M]-,2.750067763372927,CMBT,positive
528,2.74886840465781,DAN,negative
adduct_-H,2.741555140885924,NEDC,negative
810,2.741312096398028,ClCCA,negative
652,2.733018202535374,pNA,negative
2018,2.7236510277999675,CMBT,positive
456,2.723041072683899,CMBT,negative
2038,2.7181535693858416,NEDC,negative
1922,2.717541627814561,NEDC,negative
727,2.691179904137172,9AA,positive
252,2.689489909863499,NEDC,negative
1714,2.687341119247941,DHB,negative
606,2.687125463000096,DHAP,negative
971,2.6869418454494864,CMBT,negative
adduct_+Cl,2.6773828900540653,DAN,positive
1819,2.6672888245885065,DHB,positive
592,2.6602277551968414,9AA,negative
1738,2.6561125741250455,9AA,negative
adduct_-H,2.6552095194500156,pNA,positive
623,2.6509145934627774,CMBT,positive
463,2.6478891389976655,NEDC,negative
1732,2.646696394172442,9AA,positive
143,2.6450534737644293,DHB,positive
1516,2.641602592863822,CHCA,positive
1685,2.639442950110422,DHAP,negative
143,2.636486307673511,MAPS,negative
610,2.6364172034719515,DHB,positive
1693,2.6338342864868007,CHCA,negative
713,2.6324615433434215,DHB,negative
adduct_[M]-,2.632062783085027,pNA,negative
755,2.6164946179737205,NEDC,negative
1349,2.6157056623586006,DAN,negative
adduct_[M]-,2.614101992999616,CHCA,negative
1019,2.6107221957921545,pNA,positive
352,2.6082532072694553,DAN,positive
1144,2.591702289144545,DAN,negative
1995,2.590552872362934,pNA,positive
1838,2.5900588715380497,CMBT,positive
1413,2.5888896070038236,NEDC,negative
1819,2.5874944966584805,pNA,negative
892,2.5814815800972344,CMBT,positive
1134,2.5794790343203573,DHAP,negative
1302,2.563629071525968,CHCA,negative
adduct_[M]-,2.5614684813844555,pNA,positive
1879,2.5570104235694524,MAPS,negative
1035,2.551231167265686,DHB,negative
1476,2.548579622847973,DHB,negative
184,2.5480827948115037,9AA,positive
352,2.54725574201736,pNA,positive
294,2.544811858179267,9AA,positive
1722,2.538602641657384,DHB,positive
888,2.5384753070196466,CMBT,positive
1182,2.537677452898852,CHCA,positive
