,Matrix short,Polarity,adduct,name_short,detected,spot_intensity
398,9AA,negative,+K,Flavin adenine dinucleotide,0,0.0
399,9AA,negative,+K,Flavin mononucleotide,0,0.0
400,9AA,negative,+K,Folic acid,0,0.0
401,9AA,negative,+K,"Fructose 1,6-bisphosphate",0,0.0
402,9AA,negative,+K,Fumaric acid,0,0.0
403,9AA,negative,+K,GM3 Ganglioside 18:0,0,0.0
404,9AA,negative,+K,GlcCer d18:1/18:0,0,0.0
405,9AA,negative,+K,Gluconic acid,0,0.0
406,9AA,negative,+K,Glucosamine,0,0.0
407,9AA,negative,+K,Glucosamine 6-phosphate,0,0.0
408,9AA,negative,+K,Glucose,0,0.0
409,9AA,negative,+K,Glucose 6-phosphate,0,0.0
410,9AA,negative,+K,Glucosyl cholesterol,0,0.0
411,9AA,negative,+K,Glutamic acid,0,0.0
412,9AA,negative,+K,Glutamine,0,0.0
413,9AA,negative,+K,Glutathione,0,0.0
414,9AA,negative,+K,Glycerol 3-phosphate,0,0.0
415,9AA,negative,+K,Glycerophosphocholine,0,0.0
416,9AA,negative,+K,Glycine,0,0.0
417,9AA,negative,+K,Guanine,0,0.0
418,9AA,negative,+K,Histamine,0,0.0
419,9AA,negative,+K,Histidine,0,0.0
420,9AA,negative,+K,Homocysteine,0,0.0
421,9AA,negative,+K,Hypoxanthine,0,0.0
422,9AA,negative,+K,Indole,0,0.0
423,9AA,negative,+K,Kynurenic acid,0,0.0
424,9AA,negative,+K,Kynurenine,0,0.0
425,9AA,negative,+K,L-Dopa,0,0.0
426,9AA,negative,+K,Lactic acid,0,0.0
427,9AA,negative,+K,Lyso PA 18:1,0,0.0
428,9AA,negative,+K,Lyso PC 15:0,0,0.0
429,9AA,negative,+K,Lyso PE 18:0,0,0.0
430,9AA,negative,+K,Lyso PG 16:0,0,0.0
431,9AA,negative,+K,Lyso PI 17:1,0,0.0
432,9AA,negative,+K,Lyso PS 17:1,0,0.0
433,9AA,negative,+K,MG 18:1,0,0.0
434,9AA,negative,+K,Malic acid,0,0.0
435,9AA,negative,+K,Malonic acid,0,0.0
436,9AA,negative,+K,Melatonin,0,0.0
437,9AA,negative,+K,Methionine,0,0.0
438,9AA,negative,+K,Mevalonic acid,0,0.0
439,9AA,negative,+K,Myo-inositol 1-phosphate,0,0.0
440,9AA,negative,+K,N-Acetylaspartic acid,0,0.0
441,9AA,negative,+K,N-Acetylaspartylglutamic acid,0,0.0
442,9AA,negative,+K,N-Acetylgalactosamine 6-phosphate,0,0.0
443,9AA,negative,+K,N-Acetylglucosamine,0,0.0
444,9AA,negative,+K,"N6,N6,N6-Trimethyllysine",0,0.0
445,9AA,negative,+K,Niacinamide,0,0.0
446,9AA,negative,+K,Nicotinamide adenine dinucleotide (NAD),0,0.0
447,9AA,negative,+K,"Nicotinamide adenine dinucleotide, reduced (NADH)",0,0.0
448,9AA,negative,+K,Nicotinamide riboside,0,0.0
449,9AA,negative,+K,Nicotinamide ribotide,0,0.0
450,9AA,negative,+K,Nicotinic acid,0,0.0
451,9AA,negative,+K,Ornithine,0,0.0
452,9AA,negative,+K,Orotic acid,0,0.0
453,9AA,negative,+K,Oxalacetic acid,0,0.0
454,9AA,negative,+K,Oxidized glutathione,0,0.0
455,9AA,negative,+K,PA 16:0-18:1,0,0.0
456,9AA,negative,+K,PC (O) C16-18:1,0,0.0
457,9AA,negative,+K,PC 15:0-18:1,0,0.0
458,9AA,negative,+K,PE 18:0-20:4,0,0.0
459,9AA,negative,+K,PG 16:0-18:1,0,0.0
460,9AA,negative,+K,PI 16:0-18:1,0,0.0
461,9AA,negative,+K,PI(5)P 18:1,0,0.0
462,9AA,negative,+K,PS (POPS) 16:0-18:1,0,0.0
463,9AA,negative,+K,Palmitic acid,0,0.0
464,9AA,negative,+K,Palmitoyl-CoA,0,0.0
465,9AA,negative,+K,Pantetheine,0,0.0
466,9AA,negative,+K,Pantothenic acid,0,0.0
467,9AA,negative,+K,Phenylalanine,0,0.0
468,9AA,negative,+K,Phosphocreatine,0,0.0
469,9AA,negative,+K,Phosphoenolpyruvic acid,0,0.0
470,9AA,negative,+K,Phosphoserine,0,0.0
471,9AA,negative,+K,Phylloquinone,0,0.0
472,9AA,negative,+K,Proline,0,0.0
473,9AA,negative,+K,Propionylcarnitine,0,0.0
474,9AA,negative,+K,Prostaglandin E1,0,0.0
475,9AA,negative,+K,Putrescine,0,0.0
476,9AA,negative,+K,Pyridoxine,0,0.0
477,9AA,negative,+K,Pyruvic acid,0,0.0
478,9AA,negative,+K,Quinolinic acid,0,0.0
479,9AA,negative,+K,Retinoic acid,0,0.0
480,9AA,negative,+K,Riboflavin,0,0.0
481,9AA,negative,+K,Ribose 5-phosphate,0,0.0
482,9AA,negative,+K,Ribulose,0,0.0
483,9AA,negative,+K,Ribulose 5-phosphate,0,0.0
484,9AA,negative,+K,S-Adenosylhomocysteine,0,0.0
